year,subject,prior_band,n_students
2023,Mathematics (Statistics),3-<4,6
2023,Mathematics (Statistics),4-<5,97
2023,Mathematics (Statistics),5-<6,259
2023,Mathematics (Statistics),6-<7,268
2023,Mathematics (Statistics),7-<8,118
2023,Mathematics (Statistics),8-<9,38
2023,Mathematics (Statistics),9>=,1
2023,Mathematics (Statistics),Unknown prior,12
2023,Mathematics (Statistics),All,799
2023,Mathematics (Further),2-<3,1
2023,Mathematics (Further),3-<4,13
2023,Mathematics (Further),4-<5,48
2023,Mathematics (Further),5-<6,310
2023,Mathematics (Further),6-<7,1190
2023,Mathematics (Further),7-<8,3231
2023,Mathematics (Further),8-<9,6799
2023,Mathematics (Further),9>=,1367
2023,Mathematics (Further),Unknown prior,809
2023,Mathematics (Further),All,13768
2023,Computer Studies / Computing,<1,1
2023,Computer Studies / Computing,1-<2,1
2023,Computer Studies / Computing,2-<3,5
2023,Computer Studies / Computing,3-<4,86
2023,Computer Studies / Computing,4-<5,808
2023,Computer Studies / Computing,5-<6,3004
2023,Computer Studies / Computing,6-<7,4773
2023,Computer Studies / Computing,7-<8,4508
2023,Computer Studies / Computing,8-<9,3161
2023,Computer Studies / Computing,9>=,264
2023,Computer Studies / Computing,Unknown prior,409
2023,Computer Studies / Computing,All,17020
2023,Business Studies:Single,<1,1
2023,Business Studies:Single,2-<3,27
2023,Business Studies:Single,3-<4,466
2023,Business Studies:Single,4-<5,4699
2023,Business Studies:Single,5-<6,12484
2023,Business Studies:Single,6-<7,12668
2023,Business Studies:Single,7-<8,6876
2023,Business Studies:Single,8-<9,2045
2023,Business Studies:Single,9>=,114
2023,Business Studies:Single,Unknown prior,894
2023,Business Studies:Single,All,40274
2023,Art and Design,1-<2,2
2023,Art and Design,2-<3,13
2023,Art and Design,3-<4,138
2023,Art and Design,4-<5,688
2023,Art and Design,5-<6,1345
2023,Art and Design,6-<7,1428
2023,Art and Design,7-<8,1156
2023,Art and Design,8-<9,597
2023,Art and Design,9>=,77
2023,Art and Design,Unknown prior,127
2023,Art and Design,All,5571
2023,Art and Design (Graphics),2-<3,15
2023,Art and Design (Graphics),3-<4,203
2023,Art and Design (Graphics),4-<5,891
2023,Art and Design (Graphics),5-<6,1518
2023,Art and Design (Graphics),6-<7,1348
2023,Art and Design (Graphics),7-<8,793
2023,Art and Design (Graphics),8-<9,288
2023,Art and Design (Graphics),9>=,16
2023,Art and Design (Graphics),Unknown prior,93
2023,Art and Design (Graphics),All,5165
2023,Art and Design (Photography),1-<2,3
2023,Art and Design (Photography),2-<3,54
2023,Art and Design (Photography),3-<4,608
2023,Art and Design (Photography),4-<5,2199
2023,Art and Design (Photography),5-<6,3048
2023,Art and Design (Photography),6-<7,2359
2023,Art and Design (Photography),7-<8,1142
2023,Art and Design (Photography),8-<9,320
2023,Art and Design (Photography),9>=,29
2023,Art and Design (Photography),Unknown prior,204
2023,Art and Design (Photography),All,9966
2023,Art and Design (Textiles),2-<3,3
2023,Art and Design (Textiles),3-<4,111
2023,Art and Design (Textiles),4-<5,430
2023,Art and Design (Textiles),5-<6,909
2023,Art and Design (Textiles),6-<7,927
2023,Art and Design (Textiles),7-<8,577
2023,Art and Design (Textiles),8-<9,238
2023,Art and Design (Textiles),9>=,21
2023,Art and Design (Textiles),Unknown prior,72
2023,Art and Design (Textiles),All,3288
2023,Art and Design (3d Studies),1-<2,1
2023,Art and Design (3d Studies),2-<3,6
2023,Art and Design (3d Studies),3-<4,68
2023,Art and Design (3d Studies),4-<5,324
2023,Art and Design (3d Studies),5-<6,507
2023,Art and Design (3d Studies),6-<7,483
2023,Art and Design (3d Studies),7-<8,307
2023,Art and Design (3d Studies),8-<9,124
2023,Art and Design (3d Studies),9>=,16
2023,Art and Design (3d Studies),Unknown prior,47
2023,Art and Design (3d Studies),All,1883
2023,Art and Design (Critical Studies),2-<3,2
2023,Art and Design (Critical Studies),3-<4,3
2023,Art and Design (Critical Studies),4-<5,9
2023,Art and Design (Critical Studies),5-<6,21
